s-value,runtime,keyComp
1,0.009176254272460938,8325
2,0.004030942916870117,8325
3,0.015392065048217773,8326
4,0.005747795104980469,8387
5,0.002003908157348633,8387
6,0.01005864143371582,8387
7,0.0064465999603271484,8446
8,0.0,8768
9,0.0,8768
10,0.0162813663482666,8768
11,0.0,8768
12,0.008299827575683594,8768
13,0.007517576217651367,8768
14,0.0,8768
15,0.0,9195
16,0.016060352325439453,9985
17,0.0,9985
18,0.0,9985
19,0.015241622924804688,9985
20,0.0,9985
21,0.0,9985
22,0.01562666893005371,9985
23,0.0,9985
24,0.014518976211547852,9985
25,0.0015211105346679688,9985
26,0.0,9985
27,0.0,9985
28,0.01563882827758789,9985
29,0.0,9985
30,0.01562643051147461,9985
31,0.0013577938079833984,12234
32,0.0,13073
33,0.014914751052856445,13073
34,0.0,13073
35,0.015625,13073
36,0.0,13073
37,0.0,13073
38,0.015760183334350586,13073
39,0.0,13073
40,0.0,13073
41,0.01964402198791504,13073
42,0.0,13073
43,0.012017488479614258,13073
44,0.0,13073
45,0.0,13073
46,0.015639066696166992,13073
47,0.0,13073
48,0.0,13073
49,0.015612602233886719,13073
50,0.0,13073
51,0.015625476837158203,13073
52,0.0,13073
53,0.0,13073
54,0.017940759658813477,13073
55,0.008557558059692383,13073
56,0.0050051212310791016,13073
57,0.003139495849609375,13073
58,0.006673336029052734,13073
59,0.006017446517944336,13073
60,0.0,13073
61,0.0,13073
62,0.015730619430541992,16897
63,0.0,20439
64,0.01611781120300293,20439
65,0.0,20439
66,0.015507698059082031,20439
67,0.0,20439
68,0.015624523162841797,20439
69,0.0,20439
70,0.02357339859008789,20439
71,0.007506132125854492,20439
72,0.004904270172119141,20439
73,0.011021614074707031,20439
74,0.0,20439
75,0.01564955711364746,20439
76,0.0,20439
77,0.01561594009399414,20439
78,0.0,20439
79,0.01562666893005371,20439
80,0.0,20439
81,0.015626907348632812,20439
82,0.0035212039947509766,20439
83,0.013754129409790039,20439
84,0.004518270492553711,20439
85,0.01001739501953125,20439
86,0.0,20439
87,0.01562356948852539,20439
88,0.0,20439
89,0.015626907348632812,20439
90,0.0,20439
91,0.015626907348632812,20439
92,0.0,20439
93,0.015626192092895508,20439
94,0.0,20439
95,0.015627145767211914,20439
96,0.012003898620605469,20439
97,0.004018068313598633,20439
98,0.0,20439
99,0.018089771270751953,20439
100,0.005004167556762695,20439
