dataset_size,runtime,keyComp
1000,0.004336357116699219,9186
10000,0.05308938026428223,127032
100000,0.6613869667053223,1557603
1000000,7.9075233936309814,19073063
2000000,16.759583473205566,40146947
3000000,26.177042484283447,61361440
4000000,35.120234966278076,84290890
5000000,44.55369544029236,108209999
10000000,93.32474565505981,226414637
