s-value,runtime,keyComp
1,0.007040262222290039,8683
2,0.006001949310302734,8683
3,0.005040645599365234,8682
4,0.004016876220703125,8748
5,0.004019260406494141,8748
6,0.004025697708129883,8748
7,0.00502467155456543,8802
8,0.0030095577239990234,9186
9,0.004110574722290039,9186
10,0.00400090217590332,9186
11,0.004001140594482422,9186
12,0.004002094268798828,9186
13,0.004000425338745117,9186
14,0.0030007362365722656,9186
15,0.00400090217590332,9598
16,0.004503965377807617,10341
17,0.004001617431640625,10341
18,0.004000663757324219,10341
19,0.00400090217590332,10341
20,0.004000663757324219,10341
21,0.0040013790130615234,10341
22,0.004000663757324219,10341
23,0.004001140594482422,10341
24,0.004000663757324219,10341
25,0.004001617431640625,10341
26,0.004000186920166016,10341
27,0.00400090217590332,10341
28,0.00400090217590332,10341
29,0.004001140594482422,10341
30,0.004000663757324219,10341
31,0.004000663757324219,12797
32,0.005001544952392578,13602
33,0.00600123405456543,13602
34,0.005001068115234375,13602
35,0.0050013065338134766,13602
36,0.005002498626708984,13602
37,0.0050013065338134766,13602
38,0.004000425338745117,13602
39,0.005165815353393555,13602
40,0.0050013065338134766,13602
41,0.0050008296966552734,13602
42,0.005001544952392578,13602
43,0.0050008296966552734,13602
44,0.0050013065338134766,13602
45,0.005001068115234375,13602
46,0.0050013065338134766,13602
47,0.005001068115234375,13602
48,0.0050008296966552734,13602
49,0.005001068115234375,13602
50,0.005001544952392578,13602
51,0.0050008296966552734,13602
52,0.008002281188964844,13602
53,0.0050008296966552734,13602
54,0.0050013065338134766,13602
55,0.00500178337097168,13602
56,0.0050013065338134766,13602
57,0.0050008296966552734,13602
58,0.005505561828613281,13602
59,0.005001068115234375,13602
60,0.00500178337097168,13602
61,0.005000591278076172,13602
62,0.006001710891723633,17248
63,0.008001565933227539,21034
64,0.0070018768310546875,21034
65,0.008002042770385742,21034
66,0.00800180435180664,21034
67,0.007001399993896484,21034
68,0.008001565933227539,21034
69,0.007001638412475586,21034
70,0.00800180435180664,21034
71,0.008003711700439453,21034
72,0.007001399993896484,21034
73,0.008506059646606445,21034
74,0.00800180435180664,21034
75,0.007001638412475586,21034
76,0.008001327514648438,21034
77,0.008001089096069336,21034
78,0.008002519607543945,21034
79,0.007013082504272461,21034
80,0.008040189743041992,21034
81,0.007012367248535156,21034
82,0.00800180435180664,21034
83,0.00800180435180664,21034
84,0.0070037841796875,21034
85,0.008001327514648438,21034
86,0.007506608963012695,21034
87,0.008001565933227539,21034
88,0.007002115249633789,21034
89,0.008001089096069336,21034
90,0.007001638412475586,21034
91,0.00800180435180664,21034
92,0.00800180435180664,21034
93,0.007001638412475586,21034
94,0.008002281188964844,21034
95,0.007001399993896484,21034
96,0.00800180435180664,21034
97,0.008002758026123047,21034
98,0.007001638412475586,21034
99,0.0075054168701171875,21034
100,0.008001565933227539,21034
