s-value,runtime,keyComp
1,118.40713620185852,220101763
2,107.99111032485962,220101763
3,102.0435163974762,220101710
4,100.61631202697754,220222411
5,95.5736494064331,221109961
6,95.58686757087708,221109961
7,95.49942255020142,221109961
8,95.45166611671448,221109961
9,94.54399991035461,223147594
10,93.10518670082092,226414637
11,93.23723411560059,226414637
12,92.8070318698883,226414637
13,92.97969818115234,226414637
14,93.30612635612488,226414637
15,93.32689809799194,226414637
16,93.60462141036987,226414637
17,93.56927156448364,226414637
18,92.62272047996521,226414637
19,96.74363541603088,241007376
20,96.50633907318115,242321426
21,96.74276757240295,242321426
22,97.1088376045227,242321426
23,97.05096864700317,242321426
24,96.21534895896912,242321426
25,96.7767722606659,242321426
26,96.60585260391235,242321426
27,96.3698217868805,242321426
28,96.78061628341675,242321426
29,96.25811052322388,242321426
30,97.46199369430542,242321426
31,96.79933738708496,242321426
32,96.67799925804138,242321426
33,96.34379172325134,242321426
34,96.58248996734619,242321426
35,96.70401811599731,242321426
36,96.83289051055908,242321426
37,96.97126173973083,242321426
38,108.01858687400818,275266985
39,110.59726858139038,281276227
40,109.93557095527649,281276227
41,109.52296590805054,281276227
42,109.84174084663391,281276227
43,109.39737176895142,281276227
44,110.13063192367554,281276227
45,110.01942467689514,281276227
46,109.68753266334534,281276227
47,109.03103017807007,281276227
48,109.97526383399963,281276227
49,109.61819911003113,281276227
50,109.62846899032593,281276227
51,110.39496803283691,281276227
52,110.32673144340515,281276227
53,109.46818995475769,281276227
54,109.09425067901611,281276227
55,109.63841772079468,281276227
56,110.04146552085876,281276227
57,111.31808876991272,281276227
58,109.33138537406921,281276227
59,110.29796624183655,281276227
60,109.61169004440308,281276227
61,109.18707513809204,281276227
62,109.60940432548523,281276227
63,109.47473978996277,281276227
64,110.15080213546753,281276227
65,109.54993748664856,281276227
66,109.69175314903259,281276227
67,109.98357629776001,281276227
68,109.61294317245483,281276227
69,109.83202600479126,281276227
70,109.58314394950867,281276227
71,110.22450995445251,281276227
72,109.67306542396545,281276227
73,109.97151923179626,281276227
74,109.84820795059204,281276227
75,109.53925251960754,281276227
76,131.3052749633789,341546024
77,142.85270428657532,367344521
78,141.75503993034363,367344521
79,140.61370086669922,367344521
80,140.94714164733887,367344521
81,141.06164002418518,367344521
82,142.12351155281067,367344521
83,142.6584587097168,367344521
84,140.7034273147583,367344521
85,141.1508343219757,367344521
86,140.86608028411865,367344521
87,141.171865940094,367344521
88,142.22890067100525,367344521
89,141.50420784950256,367344521
90,140.29550051689148,367344521
91,141.89343667030334,367344521
92,140.6399576663971,367344521
93,142.19174528121948,367344521
94,142.05412793159485,367344521
95,141.01860332489014,367344521
96,140.8959538936615,367344521
97,140.97443199157715,367344521
98,141.7868456840515,367344521
99,141.0873258113861,367344521
100,141.17613315582275,367344521
